Sentence Output
"What poet wrote : `` ... I have promises to keep , and miles to go before I sleep '' ?" HUM:ind
"Name the Four Horsemen of the Apocalypse ." HUM:ind
"What Asian country has a bill of rights for cows ?" LOC:country
"What is the organizational structure of the New Delhi Indira Gandhi airport ?" ENTY:other
"Who sells Viagra ?" HUM:ind
"How many eyes does a bat have ?" NUM:count
"What was the orca 's name that died of a fungal infection at Sea World ?" ENTY:animal
"In which year was the cartoon character Chilly Willy created ?" NUM:date
"What is porphyria ?" DESC:def
"What is Alice Cooper 's real name ?" HUM:ind
"How long did Shea and Gould practice law in Los Angeles ?" NUM:period
"What is the difference between a generator and an alternator ?" DESC:desc
"What is the city in which Maurizio Pellegrin lives called ?" LOC:city
"What is a fear of points ?" ENTY:dismed
"What line of candy products included Super Skrunch and Peanut Butter Oompas ?" ENTY:food
"What is `` flintknapping '' ?" DESC:def
"When did Lucelly Garcia , a former ambassador of Columbia to Honduras , die ?" NUM:date
"What is making love ?" DESC:def
"What is endometriosis ?" DESC:def
"What is the definition of hazmat ?" DESC:def
"Where does the expression `` cloud nine '' come from ?" DESC:desc
"How does Belle describe her life in Beauty and the Beast ?" DESC:manner
"Who gave us the `` Rolling Writer '' ?" HUM:ind
"What British commander surrendered to George Washington at Yorktown in 1781 ?" HUM:ind
"What was Fred Astaire 's dancing partner 's name ?" HUM:ind
"Who made the largest cocaine seizure in Ventura County history ?" HUM:gr
"How did P.T. Barnum bill the diminutive Charles S. Stratton ?" DESC:manner
"What was the name of Baretta 's cockatoo ?" ENTY:animal
"How many equal sides are there on a scalene triangle ?" NUM:count
"What group starred in the movie Rock Around the Clock ?" HUM:gr
"How many Americans fought for the British in the American Revolution ?" NUM:count
"What hard-of hearing artist painted Sunflowers ?" HUM:ind
"What is the celtic symbol for `` life '' ?" ENTY:symbol
"How many months does it take the moon to revolve around the Earth ?" NUM:count
"What is Martin Luther King Jr. 's real birthday ?" NUM:date
"What caused an adjournment of the 25th anniversary session of the United Nations General Assembly ?" DESC:reason
"Who was the only person convicted in the My Lai Massacre ?" HUM:ind
"Where is the Loop ?" LOC:other
"What does gringo mean ?" DESC:def
"Who wrote Unsafe at Any Speed ?" HUM:ind
"What 1956 Grace Metalious novel was on the best-seller list for two years ?" ENTY:cremat
"Which city in China has the largest number of foreign financial companies ?" LOC:city
"When do you plant winter wheat ?" NUM:date
"How many American soldiers remain unaccounted from the Vietnam war ?" NUM:count
"Who wrote The Collector ?" HUM:ind
"How do windmills work ?" DESC:manner
"How does the Nintendo `` Zapper '' work ?" DESC:manner
"What creative genius said : `` Everything comes to him who hustles while he waits '' ?" HUM:ind
"What are the signs of a country going into a recession ?" ENTY:symbol
"What 1942 espionage movie reunited director John Huston with Maltese Falconers Humphrey Bogart , Mary Astor , and Sidney Greenstreet ?" ENTY:cremat
"Who famously rode to warn the people of Massachusetts that the British were coming ?" HUM:ind
"What is predicted to topple over between 2010 and 2020 ?" ENTY:other
"How do websites like Yahoo and Excite make money ?" DESC:manner
